,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.05777745246887207,0.021635326938949775,0.0025948524475097657,0.00016272913208694663,True,,1,2,10,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.5643293199744592,0.5311334776230205,0.5633647054891133,0.527392789398576,0.5080865700739073,0.5388613725118152,0.02185116426228193,254,0.9843085220744299,0.9814833611140746,0.985700699596904,0.9914269777566959,0.9885870600335538,0.9863013241151316,0.003436326271090137
1,0.24286904335021972,0.011017320664923055,0.005630922317504883,0.0007007977325403917,True,,1,2,50,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.6785644666866483,0.6555622813752365,0.5536262797349568,0.6094324365644169,0.5809553752636246,0.6156281679249767,0.0461314098983191,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0.45981569290161134,0.026320123518067215,0.007981967926025391,0.001489538732436998,True,,1,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.65625,0.6612781870875146,0.5985795240441306,0.6036923425424945,0.6119897541381011,0.6263579615624482,0.026850599150780228,121,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.993487548828125,0.0475180237708274,0.02212381362915039,0.008056095311533422,True,,1,2,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6786758482732964,0.6670757820592057,0.5982788631701521,0.6555063664765035,0.6081345056175178,0.6415342731193351,0.03229135994556936,68,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.04654507637023926,0.0035417733428765503,0.0021820545196533205,0.0004003407443445714,True,,1,5,10,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.4481736818721142,0.536740504407823,0.5068112346436368,0.5313239885084934,0.5415071783578451,0.5129113175579825,0.03450435432840214,321,0.982837560517008,0.97421875,0.9742346244437942,0.9813965316455265,0.9785267542907381,0.9782428441794133,0.0035608124697036865
5,0.2168430805206299,0.017436952872577724,0.004383754730224609,0.0007588284479701199,True,,1,5,50,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.6612781870875146,0.6324633594051904,0.581202449429662,0.6094266260816663,0.6173949065130319,0.6203531057034131,0.026391033769280682,142,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.4933225154876709,0.06709636640844234,0.00845198631286621,0.001166307032750696,True,,1,5,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6383993935945891,0.6503494026200973,0.5700979538993481,0.6041583810049808,0.6012490234493173,0.6128508309136665,0.028624608468727167,173,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0.9328689575195312,0.12621455862222167,0.01531081199645996,0.004234531332034219,True,,1,5,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.701891355556126,0.6965236525274136,0.5922206548916665,0.6209509190424386,0.6173949065130319,0.6457962977061353,0.044753103597376075,55,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0.07763943672180176,0.020410658825021404,0.004112815856933594,0.0021406247273026147,True,,1,10,10,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}",0.563226547031889,0.5290811459506058,0.5349465259268655,0.4591714406856693,0.5526953793438837,0.5278242077877826,0.03643462786560141,282,0.9629603138673296,0.9599422724104986,0.9356525100131244,0.9613218943818079,0.9527280462548439,0.9545210073855209,0.010060804888372117
9,0.20995168685913085,0.008504447679352945,0.004167413711547852,0.0003600151680818021,True,,1,10,50,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.6440008336231955,0.621249430342479,0.5286260914431442,0.597850936751175,0.5656364965726427,0.5914727577465273,0.04075229075892742,213,0.9971402515216047,0.9914125529488957,0.9871235140583121,0.9942708333333333,0.99140625,0.992270680372429,0.0033373725789271904
