,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.02990069389343262,0.00503275889276967,0.0014722824096679687,0.00020937763783433815,,1,2,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.5220921976762155,0.5408524452393346,0.463408200926304,0.46598857531910554,0.6631278625510342,0.5310938563423988,0.07270389848932744,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.03558087348937988,0.0008083396753250094,0.0017545223236083984,6.405930548846408e-05,,1,5,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.5477225575051661,0.5921085306372637,0.48702209326032786,0.47790075734072746,0.6044914319225264,0.5418490741332024,0.05211518169715102,11,0.9728989585387329,0.9699662854159189,0.9713541666666666,0.9756552121896728,0.9799997020495823,0.9739748649721147,0.0035557438856448974
2,0.035251188278198245,0.0007935594042200714,0.0017443180084228515,1.847299399264289e-05,,1,10,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.5291270714538634,0.5293671616531712,0.48626690142042667,0.46092708994338977,0.5885115019487422,0.5188399452839186,0.04355611336574269,34,0.9256131014844303,0.9145660189617334,0.9484262121543087,0.9344216630892035,0.9140438668226982,0.9274141725024748,0.0129436835162368
3,0.02980914115905762,0.0027601171549720884,0.0014760494232177734,0.00024913251640637084,,2,2,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.5410202784405774,0.5710669320153,0.46269897238019486,0.5013109978529917,0.6228240100128914,0.5397842381403911,0.055313771991907956,16,0.9523643222613559,0.9465265800590996,0.9534952362502048,0.946408590523946,0.9521223635732124,0.9501834185335637,0.0030693901562183225
4,0.03191709518432617,0.0038512514086551258,0.0015952587127685547,0.00017278311382806931,,2,5,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.5385254775054571,0.5770739992606925,0.4984447862792268,0.48937872312838687,0.5616525572138379,0.5330151086775202,0.0343246115701974,21,0.9355051372204258,0.9310106604379539,0.9434409113028791,0.9462982488646444,0.9465265800590996,0.9405563075770006,0.006222036373904288
5,0.02813067436218262,0.0010987182073220851,0.0014072418212890624,0.0001761049167123912,,2,10,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.5145604752334961,0.5716619504750294,0.47952979172869453,0.5008566889160463,0.5891310536439784,0.531147991999449,0.04209646926566978,22,0.8932730146130436,0.8845985595816197,0.9130104361915345,0.9025948717457593,0.8901331815261431,0.89672201273162,0.010020874340754035
6,0.02916088104248047,0.003512577226401016,0.0013086795806884766,0.0002169447148746978,,4,2,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.5030625164180259,0.6059616675035313,0.542179119815625,0.4909719342645202,0.5898263304304183,0.546400313686424,0.04561066145954582,6,0.8624699983198223,0.8881727466141216,0.9103237926649493,0.8805794849440418,0.8942397355790289,0.8871571516243927,0.015751881938364038
7,0.032515859603881835,0.0010443974621526884,0.001649951934814453,3.064939224759107e-05,,4,5,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.5307319598962932,0.5716619504750294,0.5596247894794742,0.5302083333333333,0.5723304752949947,0.5529115016958249,0.018873844473586917,1,0.8624699983198223,0.8881727466141216,0.9103237926649493,0.8805794849440418,0.8942397355790289,0.8871571516243927,0.015751881938364038
8,0.02715153694152832,0.0037943647006009845,0.0015047550201416015,0.00020215272733322152,,4,10,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.513282751414073,0.5662723531498558,0.5427614911965432,0.5024140768003459,0.5765205995736205,0.5402502544268877,0.028836839026695288,15,0.8560110114297297,0.8733778655168916,0.8973240745260858,0.8696823093934426,0.8742116786739721,0.8741213879080243,0.013316281752115995
9,0.02129335403442383,0.002464192362677713,0.001384592056274414,0.0003088641276282959,5,1,2,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.34280333180088157,0.458072122695268,0.40959505645784977,0.4322916666666667,0.5328215366133279,0.43511674284679885,0.062055265013436806,44,0.5949340000082683,0.6056237664028923,0.6268904600705456,0.6364759999663959,0.6462032282304027,0.622025490935701,0.019078855127821998
10,0.019890308380126953,0.002608800736117247,0.0012786388397216797,0.00020659362653860548,5,1,5,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.3490372456461852,0.458072122695268,0.41504294524314284,0.4258268667917969,0.5328215366133279,0.4361601433979441,0.05994442718227795,43,0.5932732429856467,0.6042885570058688,0.6254314161820428,0.6364759999663959,0.6462032282304027,0.6211344888740713,0.019709397163611916
11,0.023293685913085938,0.004310119447208174,0.0015813827514648438,0.00018504301050927918,5,1,10,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.3307173168976454,0.458072122695268,0.41504294524314284,0.4322916666666667,0.5376135862246305,0.43474752754547075,0.06684616565051799,45,0.5916156005034171,0.6042885570058688,0.6254314161820428,0.6328125,0.6426056223094586,0.6193507392001575,0.01873547691305902
12,0.020386600494384767,0.0022931794530623066,0.0014310836791992187,0.0003250416582267516,5,2,2,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.3553123051767468,0.46417670722252996,0.40959505645784977,0.4308294733275792,0.5376135862246305,0.4395054256818673,0.060485150532513215,41,0.5932732429856467,0.6029547331714206,0.6254775467755045,0.6344235989370371,0.6450030850320444,0.6202264413803307,0.01932771207030003
13,0.02005343437194824,0.002819296048103535,0.0014294147491455077,0.0003421384066193417,5,2,5,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.33660945207712184,0.46417670722252996,0.4205109284024305,0.4308294733275792,0.5376135862246305,0.43794802945085837,0.06518496811851997,42,0.5899610534563737,0.6029547331714206,0.6254314161820428,0.6344235989370371,0.6450030850320444,0.6195547773557838,0.020271078234037728
14,0.01991243362426758,0.0025616588251980775,0.0013423442840576171,0.0002670586688512342,5,2,10,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.35579799863644807,0.46417670722252996,0.4205109284024305,0.4372794231113807,0.5376135862246305,0.4430757287194839,0.059233145005052196,40,0.5899610534563737,0.6029547331714206,0.6225156958449743,0.6311684639305489,0.6414082901380539,0.6176016473082743,0.01872697066439875
15,0.021729469299316406,0.002162266310725123,0.001586151123046875,0.00021151732051721635,5,4,2,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.36162965089005333,0.47029317637313967,0.4205109284024305,0.4372794231113807,0.5376135862246305,0.4454653530003269,0.05801012912116919,38,0.5826062258764615,0.60009958807246,0.6196839261419405,0.6331977387756723,0.6409320916819838,0.6153039141097036,0.021431226275229334
16,0.021022891998291014,0.0027880982558204093,0.0014733314514160157,0.0001789160500455485,5,4,5,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.3621752766178267,0.47029317637313967,0.4205109284024305,0.4308294733275792,0.5376135862246305,0.44428448818912136,0.058094603184616865,39,0.5826062258764615,0.60009958807246,0.6196839261419405,0.6331977387756723,0.6409320916819838,0.6153039141097036,0.021431226275229334
17,0.02286043167114258,0.00016193670712968974,0.0016092777252197266,3.928437911285943e-05,5,4,10,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.36799045341838243,0.47029317637313967,0.4205109284024305,0.4372794231113807,0.5376135862246305,0.4467375135059927,0.056199143335859805,37,0.5826062258764615,0.60009958807246,0.6196839261419405,0.6311684639305489,0.6409320916819838,0.614898059140679,0.021105253786025145
