,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_shrinkage,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.005168437957763672,0.0013362888383960084,0.0016031742095947265,0.00040579227105005917,,svd,"{'shrinkage': None, 'solver': 'svd'}",0.43165047907951865,0.38001664151346176,0.3610514134626362,0.46784635120232937,0.38607703103945235,0.40532838325947973,0.03891811385709678,1,0.4529368038027403,0.46785896243052516,0.46112296519524754,0.47124104515843135,0.4823455372807306,0.46710106277353497,0.009863789858721833
1,0.002952909469604492,0.0005324892149031518,0.0014232635498046876,0.0003339407289780001,,lsqr,"{'shrinkage': None, 'solver': 'lsqr'}",0.43165047907951865,0.38001664151346176,0.3610514134626362,0.46784635120232937,0.38607703103945235,0.40532838325947973,0.03891811385709678,1,0.4529368038027403,0.46785896243052516,0.46112296519524754,0.4727909508548627,0.4823455372807306,0.4674110439128213,0.010012259311287693
2,0.0025569438934326173,0.0005135809714879733,0.0,0.0,,eigen,"{'shrinkage': None, 'solver': 'eigen'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.000740814208984375,8.832195587406886e-05,0.0,0.0,auto,svd,"{'shrinkage': 'auto', 'solver': 'svd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0037146568298339843,0.0002099000448644908,0.0009744644165039062,5.4349689279081245e-05,auto,lsqr,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.43854166666666666,0.343386123593321,0.3361302412676524,0.42220280474356553,0.39058126948200605,0.3861684211506423,0.04097572771162205,3,0.44268334267610776,0.4384820322870701,0.45180077045399386,0.4605508633645387,0.4826404957485098,0.45523150090604403,0.015680047835738845
5,0.006516885757446289,0.0011060591770356417,0.0012471675872802734,0.00018665510233490347,auto,eigen,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.43854166666666666,0.343386123593321,0.3361302412676524,0.42220280474356553,0.39058126948200605,0.3861684211506423,0.04097572771162205,3,0.44268334267610776,0.4384820322870701,0.45180077045399386,0.4605508633645387,0.4826404957485098,0.45523150090604403,0.015680047835738845
6,0.0007462978363037109,6.154883560343901e-05,0.0,0.0,0.1,svd,"{'shrinkage': 0.1, 'solver': 'svd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0028183460235595703,0.00015422037186329604,0.0013141632080078125,2.2631939348428998e-05,0.1,lsqr,"{'shrinkage': 0.1, 'solver': 'lsqr'}",0.4374848929638634,0.35893004542493184,0.3475774011869842,0.41598539946646723,0.36670671121120957,0.3853368900506912,0.035011224894795114,5,0.4396513723661222,0.4251796146835225,0.4489379775536518,0.4472358684488661,0.4510911478741703,0.44241919618526654,0.009442050702760657
8,0.003297090530395508,0.000104776543223437,0.001294565200805664,2.058666773923497e-05,0.1,eigen,"{'shrinkage': 0.1, 'solver': 'eigen'}",0.4374848929638634,0.35893004542493184,0.3475774011869842,0.41598539946646723,0.36670671121120957,0.3853368900506912,0.035011224894795114,5,0.4396513723661222,0.4251796146835225,0.4489379775536518,0.4472358684488661,0.4510911478741703,0.44241919618526654,0.009442050702760657
9,0.000672149658203125,2.1826123851204853e-05,0.0,0.0,0.5,svd,"{'shrinkage': 0.5, 'solver': 'svd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0028467655181884767,0.00011922925781856476,0.00139617919921875,0.00011710571142596105,0.5,lsqr,"{'shrinkage': 0.5, 'solver': 'lsqr'}",0.37231200219519694,0.36751387292735416,0.34359052884259467,0.3429971702850177,0.3300418503007326,0.3512910849101792,0.016029194425176446,7,0.3696290245145081,0.39741909755790883,0.3738474033707031,0.38817604949292517,0.40028949156522137,0.38587221330025334,0.012287663289682437
11,0.0033235073089599608,4.451611352389724e-05,0.0012947559356689454,4.512844907592118e-05,0.5,eigen,"{'shrinkage': 0.5, 'solver': 'eigen'}",0.37231200219519694,0.36751387292735416,0.34359052884259467,0.3429971702850177,0.3300418503007326,0.3512910849101792,0.016029194425176446,7,0.3696290245145081,0.39741909755790883,0.3738474033707031,0.38817604949292517,0.40028949156522137,0.38587221330025334,0.012287663289682437
12,0.0007853031158447266,0.00016189140485667333,0.0,0.0,0.9,svd,"{'shrinkage': 0.9, 'solver': 'svd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.002797698974609375,0.00012620309538229763,0.0014433860778808594,0.0001878296006103156,0.9,lsqr,"{'shrinkage': 0.9, 'solver': 'lsqr'}",0.3254489401235977,0.296683051981965,0.2476217317278655,0.305159256693454,0.2119624954909552,0.2773750952035675,0.04152089167955659,9,0.3183202451178905,0.3361302412676524,0.29551786574293376,0.3139282473676888,0.31992917571522983,0.3167651550422791,0.013014847246145392
14,0.003449678421020508,0.00023797389522255913,0.0013867855072021485,9.060729139981829e-05,0.9,eigen,"{'shrinkage': 0.9, 'solver': 'eigen'}",0.3254489401235977,0.296683051981965,0.2476217317278655,0.305159256693454,0.2119624954909552,0.2773750952035675,0.04152089167955659,9,0.3183202451178905,0.3361302412676524,0.29551786574293376,0.3139282473676888,0.31992917571522983,0.3167651550422791,0.013014847246145392
