,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.05979585647583008,0.0008664696422522729,0.001289224624633789,1.3628369694228232e-05,0.01,3,10,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1077641487121582,0.009142226350755199,0.0016887664794921875,0.000184384821310807,0.01,3,10,0.75,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.75}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.14640045166015625,0.0014867414102276066,0.0017961025238037109,1.3107905690286025e-05,0.01,3,10,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.37819652557373046,0.010122491521546427,0.002074432373046875,2.6849531335570553e-05,0.01,3,50,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5}",0.4513090927022329,0.4300486095445753,0.42059279271625616,0.4182811102784302,0.44181610881072036,0.43240954281044297,0.012573771626014316,174,0.5076509783053738,0.5085411574397637,0.5308533720061783,0.5478630646636714,0.5197056243797106,0.5229228393589396,0.015068650725304188
4,0.5384493827819824,0.04229037491583586,0.002074432373046875,0.0003465310960633266,0.01,3,50,0.75,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.75}",0.4868696652627335,0.4424191406413606,0.3349939029783673,0.41268856334026305,0.4472754265967973,0.4248493397639043,0.05075437331232861,175,0.5124417300183945,0.5059924592267421,0.500576541881165,0.5221901974812662,0.5099524862487331,0.5102306829712602,0.007199459569608985
5,0.6960764408111573,0.09060457966459286,0.0020142078399658205,0.0002236721787326919,0.01,3,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.40490478118727696,0.42396120216840755,0.32595092167293993,0.39467929660624035,0.45305977298225986,0.40051119492342496,0.042246431520832815,179,0.5213767172404665,0.5061495303774622,0.4683049130656923,0.5009812930841618,0.48719858814091743,0.49680220838174005,0.017961453310627904
6,0.681451416015625,0.06332816588052892,0.002271699905395508,8.120347803126143e-05,0.01,3,100,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",0.5830261000044615,0.4604554601361903,0.46486413833411594,0.48216403465533675,0.5060480768510598,0.49931156199623283,0.04481955789372006,161,0.6108617499717646,0.5915461337523237,0.5776418753248208,0.6036992050567245,0.6054892930107165,0.59784765142327,0.011916246387214594
7,1.2426538944244385,0.11638768540559258,0.0030276298522949217,0.0007133531602149129,0.01,3,100,0.75,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.75}",0.5581204233033191,0.47349616029963415,0.4472248431853636,0.42554042826111843,0.46204900038030233,0.4732861710859475,0.04534758476491282,168,0.6082410047766806,0.5893361888708918,0.5935587505399533,0.6203001166729227,0.5763938768029275,0.5975659875326752,0.015250196247965418
8,1.843646478652954,0.1079036569341453,0.0024501323699951173,0.00027011592277956893,0.01,3,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.5365097172527439,0.452754014203631,0.4181053110587523,0.44456741349657036,0.4270833333333333,0.4558039578690062,0.04217829756769423,172,0.5823252408812755,0.5977030663292744,0.544418060056521,0.6043098548117594,0.5624223191053879,0.5782357082368437,0.022222781249114216
9,1.8933798789978027,0.09865089548466287,0.003420305252075195,0.00023981275150470466,0.01,3,200,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.644219997514806,0.542179119815625,0.5464395176948256,0.5523377288254981,0.5616525572138379,0.5693657842129185,0.03799297358083613,131,0.6973551559675133,0.6861233069673168,0.6919433472840331,0.7147127909426353,0.6892888033069574,0.6958846808936912,0.0101092448545891
