,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0003499031066894531,0.00024657657493028673,0.0,0.0,0.01,l1,newton-cg,"{'C': 0.01, 'penalty': 'l1', 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00023179054260253907,4.206865932923718e-05,0.0,0.0,0.01,l1,lbfgs,"{'C': 0.01, 'penalty': 'l1', 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0031392574310302734,0.0016511476156553962,0.004417133331298828,0.003179732785418484,0.01,l1,liblinear,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.2355565284664199,0.19416504870229898,0.13280051989430297,0.24329621045312075,0.134962721696486,0.18815620584252574,0.047364787782090585,34,0.2286575602243591,0.2229405743080826,0.2331031807080958,0.226404839260764,0.20158109222622086,0.22253744934550448,0.010985249697653432
3,0.00028047561645507815,4.166056146781756e-05,0.0,0.0,0.01,l1,sag,"{'C': 0.01, 'penalty': 'l1', 'solver': 'sag'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.031061506271362303,0.010078565906961417,0.0013312816619873047,0.0004041587028497505,0.01,l1,saga,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.029204083016228455,0.0,0.029204083016228455,0.011681633206491382,0.014307020359128004
5,0.004091310501098633,0.0007981974786000962,0.0012577056884765625,0.00025666215279524396,0.01,l2,newton-cg,"{'C': 0.01, 'penalty': 'l2', 'solver': 'newton-cg'}",0.42408140828240976,0.38799265144208905,0.34503277967117707,0.43854166666666666,0.336890600422706,0.3865078212970097,0.040751804643761526,29,0.42225709629656555,0.42941045793277016,0.4403059819107271,0.43015708728202134,0.44903135359337115,0.43423239540309105,0.009371922135010397
6,0.002967214584350586,0.0007809707424922698,0.001118946075439453,0.0003434594663643863,0.01,l2,lbfgs,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.42408140828240976,0.38799265144208905,0.34503277967117707,0.43854166666666666,0.336890600422706,0.3865078212970097,0.040751804643761526,29,0.4207698816450986,0.4279252653227249,0.4403059819107271,0.43015708728202134,0.44903135359337115,0.4336379139507886,0.00991723629257861
7,0.004015111923217773,0.0004577928176184426,0.001233816146850586,0.00033650776978672806,0.01,l2,liblinear,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.4532951213167511,0.37762099392135606,0.34911469845569093,0.40784447219741377,0.3226320571022286,0.38210146859868804,0.045554475045072214,33,0.41788458346680274,0.4396513723661222,0.4457757468024339,0.4369645913320829,0.4588831088960501,0.43983188057269834,0.01332829041881903
8,0.018231630325317383,0.005517694144732256,0.001539754867553711,0.0002723055569073642,0.01,l2,sag,"{'C': 0.01, 'penalty': 'l2', 'solver': 'sag'}",0.42408140828240976,0.38799265144208905,0.34503277967117707,0.43854166666666666,0.336890600422706,0.3865078212970097,0.040751804643761526,29,0.4207698816450986,0.42941045793277016,0.4403059819107271,0.43015708728202134,0.44903135359337115,0.4339349524727976,0.009762722458750603
9,0.03654513359069824,0.007115204375606539,0.0013190746307373048,0.00034841537397274695,0.01,l2,saga,"{'C': 0.01, 'penalty': 'l2', 'solver': 'saga'}",0.42408140828240976,0.38799265144208905,0.34503277967117707,0.43854166666666666,0.336890600422706,0.3865078212970097,0.040751804643761526,29,0.4207698816450986,0.42941045793277016,0.4403059819107271,0.43015708728202134,0.44903135359337115,0.4339349524727976,0.009762722458750603
10,0.0003476142883300781,5.535235328299147e-05,0.0,0.0,0.01,elasticnet,newton-cg,"{'C': 0.01, 'penalty': 'elasticnet', 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0003149986267089844,8.766925748851216e-05,0.0,0.0,0.01,elasticnet,lbfgs,"{'C': 0.01, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.00026917457580566406,2.909175647386727e-05,0.0,0.0,0.01,elasticnet,liblinear,"{'C': 0.01, 'penalty': 'elasticnet', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0002167224884033203,2.2500449456441986e-05,0.0,0.0,0.01,elasticnet,sag,"{'C': 0.01, 'penalty': 'elasticnet', 'solver': 'sag'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0002377033233642578,3.895003690190649e-05,0.0,0.0,0.01,elasticnet,saga,"{'C': 0.01, 'penalty': 'elasticnet', 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.00022416114807128907,4.5219501275174935e-05,0.0,0.0,0.01,none,newton-cg,"{'C': 0.01, 'penalty': 'none', 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
