,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.024479198455810546,0.00863347075716165,0.007355928421020508,0.001314196184793756,0.01,scale,linear,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.4358425990115926,0.38797014489949266,0.3475774011869842,0.43075201199926333,0.36155299658381584,0.39273903073622973,0.0356027755221282,46,0.4272342435370635,0.4318638256456593,0.4621777549372451,0.43130660217565975,0.4626850093284799,0.44305348712482145,0.01590333663801371
1,0.05253877639770508,0.013920236802856822,0.023635053634643556,0.0022255354006384203,0.01,scale,rbf,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.05263452529907227,0.000821761400207264,0.01225123405456543,9.480088752410106e-05,0.01,scale,poly,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'poly'}",0.0,0.0,0.0,-0.048725445517057174,0.0,-0.009745089103411434,0.019490178206822868,98,0.029204083016228455,0.0,0.04131549501122744,0.04131549501122744,0.04131549501122744,0.030630113609982156,0.016017300334856505
3,0.09656982421875,0.010875013579951881,0.02249436378479004,0.00225391408619747,0.01,scale,sigmoid,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.03670477867126465,0.005251361019645085,0.00794377326965332,0.0012449804874076853,0.01,auto,linear,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.4358425990115926,0.38797014489949266,0.3475774011869842,0.43075201199926333,0.36155299658381584,0.39273903073622973,0.0356027755221282,46,0.4272342435370635,0.4318638256456593,0.4621777549372451,0.43130660217565975,0.4626850093284799,0.44305348712482145,0.01590333663801371
5,0.047778654098510745,0.002283490185037985,0.02082648277282715,0.0014894099400895476,0.01,auto,rbf,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.06357364654541016,0.028385556242242205,0.011182165145874024,0.002757122975522776,0.01,auto,poly,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'poly'}",0.0,0.0,0.0,-0.048725445517057174,0.0,-0.009745089103411434,0.019490178206822868,98,0.029204083016228455,0.0,0.029204083016228455,0.04131549501122744,0.029204083016228455,0.025785548811982563,0.013719569124454113
7,0.0792381763458252,0.009079535406187127,0.018367290496826172,0.00226041153604144,0.01,auto,sigmoid,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.04312553405761719,0.0008465204212671066,0.00969996452331543,0.0002909298586417511,0.01,0.01,linear,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'linear'}",0.4358425990115926,0.38797014489949266,0.3475774011869842,0.43075201199926333,0.36155299658381584,0.39273903073622973,0.0356027755221282,46,0.4272342435370635,0.4318638256456593,0.4621777549372451,0.43130660217565975,0.4626850093284799,0.44305348712482145,0.01590333663801371
9,0.06946191787719727,0.02524366305429882,0.023694753646850586,0.002794238735660803,0.01,0.01,rbf,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
