ParamCombo,Condition,Metric,p_Value,h_Value
P0_5_D100_N10,EC,Prominence,0.0212363861980723,1
P1_D50_N15,EO,Peak Height,0.021251507718565,1
P1_D50_N15,EC,Prominence,0.0212832680914635,1
P0_5_D100_N15,EC,Prominence,0.0216596049300122,1
P0_5_D50_N15,EC,Peak Height,0.0216918626383911,1
P0_5_D150_N10,NDEC,Prominence,0.0218971275993445,1
P0_5_D100_N5,DEC,Peak Height,0.0230627658934866,1
P1_5_D50_N15,EO,Peak Height,0.0231278795926381,1
P1_D100_N10,EC,Prominence,0.0236591985314092,1
P1_5_D50_N10,DEC,Prominence,0.0251144633166198,1
P1_D100_N5,DEC,Peak Height,0.0255887372417275,1
P1_D50_N5,NDEC,Peak Height,0.0256849033865501,1
P1_5_D100_N5,DEC,Peak Height,0.0266971817566331,1
P0_5_D50_N15,EO,Peak Height,0.0328545035570982,1
P1_D100_N5,NDEC,Peak Height,0.0335465437843591,1
P1_5_D100_N5,NDEC,Peak Height,0.0335465437843591,1
P0_5_D50_N15,EO,Prominence,0.0342733537835445,1
P0_5_D150_N5,NDEC,Peak Height,0.0346264097040705,1
P1_D150_N5,NDEC,Peak Height,0.0346264097040705,1
P0_5_D100_N5,NDEC,Peak Height,0.0350604312467243,1
P1_5_D50_N10,EO,Peak Height,0.0357116305056735,1
P1_D50_N5,DEC,Peak Height,0.0416301630295017,1
P1_D100_N15,NDEC,Prominence,0.0425722604922974,1
P1_5_D100_N15,NDEC,Prominence,0.0425722604922974,1
P1_D50_N5,NDEC,Prominence,0.0428479412318123,1
P0_5_D50_N5,NDEC,Peak Height,0.0448331219951829,1
P0_5_D100_N15,EO,Prominence,0.0452871789237686,1
P1_D50_N10,EO,Peak Height,0.0461258842677666,1
P1_5_D50_N5,NDEC,Peak Height,0.0474332392855325,1
P1_5_D50_N10,EO,Prominence,0.0481258749471841,1
P1_D100_N10,NDEC,Prominence,0.0482681747672109,1
P1_5_D100_N10,NDEC,Prominence,0.0482681747672109,1
P0_5_D50_N5,DEC,Peak Height,0.049781929526442,1
P0_5_D100_N15,EO,Peak Height,0.0498094718495754,1
P0_5_D100_N10,NDEC,Prominence,0.0501912738140198,0
P0_5_D50_N15,EC,Prominence,0.0507843954346942,0
P1_D100_N15,EO,Peak Height,0.0512215270872225,0
P1_5_D100_N15,EO,Peak Height,0.0522524562408472,0
P0_5_D100_N15,NDEC,Width,0.0528737745956999,0
P1_D100_N15,EO,Prominence,0.0553757955775815,0
P0_5_D100_N15,NDEC,Prominence,0.0593644619046657,0
P1_D50_N10,NDEC,Prominence,0.0603310530452612,0
P0_5_D50_N10,EO,Peak Height,0.0631862746928196,0
P1_5_D100_N15,EO,Prominence,0.0632853154267059,0
P1_5_D50_N5,DEC,Peak Height,0.0636754513273677,0
P0_5_D150_N5,NDEC,Prominence,0.0653856802904392,0
P1_D150_N5,NDEC,Prominence,0.0653856802904392,0
P0_5_D50_N5,NDEC,Prominence,0.0668896985063459,0
P1_D50_N10,EO,Prominence,0.067922166858389,0
P1_D150_N5,DEC,Peak Height,0.068057836916105,0
P1_5_D50_N10,NDEC,Prominence,0.0750340878545432,0
P1_D50_N10,EC,Peak Height,0.077145809238519,0
P1_D150_N5,DEC,Prominence,0.0787016652906938,0
P0_5_D150_N5,DEC,Peak Height,0.0791229296453832,0
P1_D150_N15,EO,Width,0.0797978767724241,0
P1_5_D150_N5,DEC,Peak Height,0.080550517749417,0
P1_D100_N15,NDEC,Width,0.0806788878031633,0
P1_5_D100_N15,NDEC,Width,0.0806788878031633,0
P1_5_D50_N5,NDEC,Prominence,0.0832638197574247,0
P0_5_D50_N10,NDEC,Prominence,0.0836507663317781,0
P1_D50_N5,DEC,Prominence,0.088935385219456,0
P1_5_D100_N5,DEC,Prominence,0.0904417560274228,0
P1_D50_N10,EC,Prominence,0.0950284049618555,0
P0_5_D50_N10,EO,Prominence,0.100795054132315,0
P1_D100_N5,NDEC,Prominence,0.102344188890235,0
P1_5_D100_N5,NDEC,Prominence,0.102344188890235,0
P1_5_D50_N10,EC,Peak Height,0.105024448273621,0
P1_5_D150_N15,EO,Peak Height,0.105209642005446,0
P0_5_D150_N15,EO,Width,0.107379994117486,0
P0_5_D100_N5,NDEC,Prominence,0.107641778059972,0
P0_5_D150_N15,EO,Peak Height,0.111627439905561,0
P0_5_D50_N5,EO,Peak Height,0.113720683276024,0
P1_D50_N5,EO,Peak Height,0.113720683276024,0
P1_5_D50_N5,EO,Peak Height,0.113720683276024,0
P1_D100_N5,DEC,Prominence,0.120438970857743,0
P1_D150_N15,EO,Peak Height,0.12143964104891,0
P0_5_D50_N10,EC,Peak Height,0.127209245882641,0
P1_5_D150_N15,EO,Prominence,0.129384304685627,0
P0_5_D50_N10,EC,Prominence,0.134327389695887,0
P1_5_D150_N5,DEC,Prominence,0.137569390331413,0
P1_5_D150_N15,EO,Width,0.143496113662193,0
P1_5_D50_N10,EC,Prominence,0.145807842453247,0
P0_5_D150_N15,EO,Prominence,0.148112359779989,0
P0_5_D50_N5,DEC,Prominence,0.15117447795867,0
P1_D150_N15,EO,Prominence,0.151301111287365,0
P0_5_D150_N5,DEC,Prominence,0.157603873066985,0
P0_5_D100_N5,DEC,Prominence,0.159080490991384,0
P1_5_D50_N15,NDEC,Width,0.167537056911598,0
P0_5_D50_N5,EO,Prominence,0.168901434587543,0
P1_D50_N5,EO,Prominence,0.168901434587543,0
P1_5_D50_N5,EO,Prominence,0.168901434587543,0
P1_D50_N15,NDEC,Width,0.1846891093107,0
P0_5_D100_N10,EO,Prominence,0.189469132517667,0
P1_5_D50_N5,DEC,Prominence,0.190296727273491,0
P0_5_D150_N10,NDEC,Width,0.191571080071037,0
P1_D150_N10,NDEC,Width,0.204005235231816,0
P0_5_D150_N15,NDEC,Width,0.208369076245357,0
P0_5_D50_N15,NDEC,Width,0.211981263505383,0
