AlphaPower,BetaPower,Label,Electrode,SubjectID
-8.62969546328669,-12.4458028876593,1,1,1
-8.4075745208185,-11.411024691888,1,2,1
-6.72951629804549,-11.443518804184,1,3,1
-12.3054047430264,-16.0322134973602,1,1,2
-14.0052911856319,-18.7715330997318,1,2,2
-10.7577490059581,-17.8625233619203,1,3,2
-15.4208282430914,-19.9041738410327,1,1,3
-14.5896148114676,-20.6357139966395,1,2,3
-13.804137349594,-19.4557672262016,1,3,3
-13.9250913365809,-16.9339255869617,1,1,4
-13.0110853203577,-16.7515540895763,1,2,4
-12.1971735617357,-16.0210668733364,1,3,4
-19.9957577070193,-21.8529291808749,1,1,5
-19.0918429586583,-21.6906312188225,1,2,5
-18.6042582734504,-20.9576634886395,1,3,5
-11.5387095175843,-17.3857645064621,1,1,6
-11.5010643668244,-16.680578995752,1,2,6
-11.4619971819601,-16.6896209231502,1,3,6
-5.25892908150483,-10.5359681602837,1,1,7
-13.2244272124991,-20.6536851549607,1,2,7
-10.452816342353,-19.9574927428203,1,3,7
-13.0135267147163,-17.4386313868981,0,1,8
-13.135649356653,-17.2226815778852,0,2,8
-14.9429527729922,-18.9394449424627,0,3,8
-10.8360403416547,-10.4570499104026,0,1,9
-11.4104082969845,-11.5650257938266,0,2,9
-11.4859811145251,-11.8566997623921,0,3,9
-13.6453781662555,-18.3242666279964,0,1,10
-15.9876754301601,-19.7163890750968,0,2,10
-14.1732085207974,-19.505090212693,0,3,10
-17.1452397314824,-21.2267313922892,0,1,11
-17.1958890622567,-21.5988431037363,0,2,11
-17.9074895440246,-20.8722488409009,0,3,11
-15.681662347705,-18.1169899725286,0,1,12
-16.9837709694076,-19.5845598060212,0,2,12
-19.0524290949975,-20.0166049138852,0,3,12
-11.7504727938731,-19.8618677284219,0,1,13
-12.6136206472378,-20.0353663879046,0,2,13
-13.089322631458,-19.5840858358461,0,3,13
