AlphaPower,BetaPower,Label,Electrode,SubjectID
1.98548586785572,-11.7778546759589,1,1,1
0.960500627892147,-11.5191349694733,1,2,1
3.10788491018241,-11.0430214317877,1,3,1
-9.39583941271196,-16.8636132917252,1,1,2
-8.22484279411716,-17.3594919575438,1,2,2
-4.60570262942627,-15.9590726064821,1,3,2
0.365519898020698,-16.3147530592121,1,1,3
-0.138620522212702,-16.7561014452289,1,2,3
-0.0211965113314691,-13.6728855939111,1,3,3
-0.349988806610521,-12.9137573989082,1,1,4
-0.130593663775721,-12.9072571610715,1,2,4
0.216472501389262,-11.819101702372,1,3,4
-17.9019693986766,-20.8586860377198,1,1,5
-17.7061315498921,-20.4245949029609,1,2,5
-17.4357727595731,-19.5365062856197,1,3,5
-5.38588975982341,-18.0240062026761,1,1,6
-5.80166651988721,-17.3062210930624,1,2,6
-5.1180531788332,-16.8290627670442,1,3,6
2.99824323230883,-9.30609458214039,1,1,7
1.39626256168743,-14.840527331155,1,2,7
1.99456013689161,-14.9898335612353,1,3,7
-4.50487999325335,-16.9569129650089,0,1,8
-6.61123755763051,-17.0220788406633,0,2,8
-6.31476673328597,-18.0185657320523,0,3,8
-11.9810375863623,-12.2599564553154,0,1,9
-11.8264511777818,-13.0086083413467,0,2,9
-11.3586579339279,-12.9870162853422,0,3,9
-8.18014566407363,-20.555249137987,0,1,10
-7.73643053140203,-21.5159726233265,0,2,10
-7.46091944935932,-20.7870027703261,0,3,10
-2.98357876539647,-17.9112215828487,0,1,11
-3.54132408361588,-17.0030608730302,0,2,11
-2.69683791837945,-14.7798041489268,0,3,11
-11.5563783685594,-16.7956293688091,0,1,12
-12.8439718744672,-17.6569023843824,0,2,12
-12.5144047186931,-18.7876107456962,0,3,12
-4.08771544115887,-16.3773205662617,0,1,13
-4.57244458301834,-16.332061678309,0,2,13
-4.09816897008269,-16.2265966775352,0,3,13
